#
# Shared version of pdi.txt split into 4 shares
#
###############################################################################
# pdi.txt
# This file was auto-generated by cryptotvgen v1.1.2
###############################################################################
# Parameter:
#
# add_partial            - False
# aead                   - romulusn1v12
# block_size             - 128
# block_size_ad          - 128
# block_size_msg_digest  - None
# cc_hls                 - False
# cc_pad_ad              - 0
# cc_pad_d               - 0
# cc_pad_enable          - False
# cc_pad_style           - 1
# ciph_exp               - False
# ciph_exp_noext         - False
# dec_msg_format         - None
# gen_custom_mode        - 0
# hash                   - None
# io (W,SW)              - [32, 32]
# key_size               - 128
# max_ad                 - 32
# max_block_per_sgmt     - None
# max_d                  - 32
# max_io_per_line        - 8
# message_digest_size    - 256
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ['ad', 'npub', 'data', 'tag']
# npub_size              - 128
# nsec_size              - 0
# offline                - False
# random_shuffle         - True
# tag_size               - 128
# with_key_reuse         - False
###############################################################################

#### Authenticated Encryption
#### MsgID=1, KeyID=1, AD Size=16, PT Size=18
# Instruction: Opcode=Activate Key
INS = 70000000000000000000000000000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = 12000010000000000000000000000000
DAT = 26A1DCC9F9E3CEDA87723B077341D67CCE4F6022C7FCD63694151E87133720725E77C433D564564FB4755BAC7A9D5C7BF60E6F10A0F610637CEE88F838A9EE42
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010000000000000000000000000
DAT = D0FCF9F0474F4BEE92708F164278FCEB738A8A9471C5398587ECBCCA3EF1B5554424D55C9B966F5A771A43C6D34175CF76E8D6DEEEE2CAE7BE22DE925439DA32
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=18 bytes
HDR = 47000012000000000000000000000000
DAT = B87C18D08637EB2EB823769C3996EF29486D413558F1C700E8B5105E29F671EC6E82A0B615255D3DDC415E9F4E3F4BB8892D9164BACE0C8210197E9D79151F0F70B4FE8E6527C722FA347D7C785044D0

#### Authenticated Decryption
#### MsgID=2, KeyID=1, AD Size=15, CT Size=0
# Instruction: Opcode=Authenticated Decryption
INS = 30000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=15 bytes
HDR = 1200000F000000000000000000000000
DAT = 90211916DC36113F921CED7DCEC03DE687F89E7CB68E95FCCE54C0EDB21A385400B649FA62FAAB9A5CC76812A8FF32BF74C1CD8559007445295CB39D1AA0405D
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = D6000010000000000000000000000000
DAT = 4B0FEE3B90614E3CFE2F75615E359435C2EC6979F0595353571DDC0A5B00C3454B0A7C7EEF6D53F19C822CD6C5B337F973A9A3083494CFF2D2630A8452912CF1
# Info :               Ciphertext, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 52000000000000000000000000000000
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010000000000000000000000000
DAT = B04B2942FAE1DB199D1F85FA79138901EA6A4F7B116233AE02C8EC27BFA8CA3D4F190FA14209E412EFC343238C952D5FFCE37182F429AC18E32A529BDD9944CF

#### Authenticated Encryption
#### MsgID=3, KeyID=2, AD Size=0, PT Size=28
# Instruction: Opcode=Activate Key
INS = 70000000000000000000000000000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000000000000000000000000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010000000000000000000000000
DAT = 99D9A7FE064E39384AB9BDDB71A0A5993564253CEC993805FAAFDD87ACA8540949202C573509E8E3127CC77EFB13FFA54BD5F329999009C27E3B5B26263D25B3
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=28 bytes
HDR = 4700001C000000000000000000000000
DAT = AA09D7582659B2DF6AA2E978D2C15C218DA5D6218683DF8F45BC4B69E5BF7C70C586BACCE2C54FA88BE0B394D36374BD5DED27DD85FB3E5564EBB818B14490B8DB3D0F3DD7E376FE51833DB5F13B4BF2906051E0A6998B9FDCFD526A7323C4036C1E35DFC4F908E8AAF35713F50FFA4F

#### Authenticated Encryption
#### MsgID=4, KeyID=3, AD Size=30, PT Size=31
# Instruction: Opcode=Activate Key
INS = 70000000000000000000000000000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=30 bytes
HDR = 1200001E000000000000000000000000
DAT = D8884BBDC44259CA9EC3E8D434720B6230726A46E33C3ABA9ED3768AAB9F5F76B20F043939873017D812B5C5CAB978931089088BB3E66626657D5FB730EA00BA5E772C0C3F077771FC539688F1E99FAB79A2E36C194353FF3220F38095BDF4143544CFEC97E218D39C7243462A77867AFB9762C0ADDFB0C1B6FC8B183B155919
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010000000000000000000000000
DAT = 1E27A46E8E81DB452C9180B34A7F9D112CB555C4D97EDA17D82448D153B593D0CB8704ECC2B97D289DAE947FAC4F930F201A745B91375770ADAD78DED56DA34C
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=31 bytes
HDR = 4700001F000000000000000000000000
DAT = 6D8B2BFBEE5E1E798138CEA15868B84AC9AD4F8FBFE81E5D1540D0265802DB960534187186C19D2543F83FFEF5635D4383645023AD4B51CA4637049FCAC907A60E48B67AC3344EABE1B7BA488466256C8BED45E0A1CE8E7FCF89E0F0E64622724829232B0E86CAD751D27D2FE6062C66EB4DD75F1865E98E7DEB1C64B17EB0B5

#### Authenticated Decryption
#### MsgID=5, KeyID=3, AD Size=24, CT Size=22
# Instruction: Opcode=Authenticated Decryption
INS = 30000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=24 bytes
HDR = 12000018000000000000000000000000
DAT = A4E648703FBDCE6CEE286E147EAD05462BC73BFC69D5C569F3F50C6D8F02B6DD246E813E08820A42C05CE222CC8458A2CA00E3A709E9C8E24A46E8B836FF86FC484795B830572965248FB23185454F042CDA5B9903D2F75712F98A298EE170D8
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010000000000000000000000000
DAT = 0C3FE755372B479036C33265067C3BFC317356068A37A58C8B4450898E8CA8E58FFD8714277AADF947A367B2673EB27D7925C2547521CC7FF3C4FA7731D44131
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=22 bytes
HDR = 56000016000000000000000000000000
DAT = 32C84D20989C3554D04DD503E9776E4843A08F53C51F96F9790E08EC654E0CCDB487BD8C132104D484A4CEF88367A514E381A05D2B9F2BD4D7E45F85FF24B03931C81968ED6C23A41E3544EBE734D796F2EE8E2B61EC7C1E7CBF2955FB87DB60
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010000000000000000000000000
DAT = A4A902C1EFF17659AEA2F74E54E906BC1C2D67A63070DA5A7AA4BB5DADDBA1F0BA6280006BAC37BA68B12AD0913568678C62D41634E6F767943B3BFF4E35D818

#### Authenticated Encryption
#### MsgID=6, KeyID=3, AD Size=23, PT Size=29
# Instruction: Opcode=Authenticated Encryption
INS = 20000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=23 bytes
HDR = 12000017000000000000000000000000
DAT = AC3826A83C5158D1434D3D1F93CCD7C51CCF0824801B86016B9650B4F5E2E2DAEF1AF9556E2AA522EFEAFEAD3CB957F4614B9899EA0E9D43D5C96920E9B29EB67BF42EEFFEA82B0E8F051719B005A44579667DCF4372B105A8FEC6510EA83B9B
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010000000000000000000000000
DAT = 532446A02EF0DC65CADDC9D57C080D21EE8779BC4219FAB86EC3C797F8B018DB69E94FC76FAA1FF5C4506AC322F8D99B450884D468B853C1923E9F893140704A
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=29 bytes
HDR = 4700001D000000000000000000000000
DAT = 579656FF59E0AE7A42E9B6E84873673C95FE236035CF9F1F49BF815ABD791A12AA1366DA99CF694F64DBB4D73142CFD22FB526E6DE07AC39CBD08AFBAF92BD2FF5078BF81DEE9A8C4460FB7255D3201D9D0346DED47927B6F1FF15522405347F0A44B33F1FE645CEB0EC4E36D57DD97D356B7625B1602A2C31C3C85C5DC89455

#### Authenticated Decryption
#### MsgID=7, KeyID=3, AD Size=7, CT Size=14
# Instruction: Opcode=Authenticated Decryption
INS = 30000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=7 bytes
HDR = 12000007000000000000000000000000
DAT = D390A8C8B1BA3C933B890BDFB3AEEB567CCA86DD0CF9DD5C4080BFB8A0536D39
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010000000000000000000000000
DAT = 507D75CF5326282BEEC99809375B7EE08FA76212FDF910A57BFECA087EF05EF974CE112784A55AC81A6659D32DC2B98F5A88F297F85469A080E414F9DEB94E73
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=14 bytes
HDR = 5600000E000000000000000000000000
DAT = 188132BA0F34D8815E46DEA027FB6F6D2A5AB308773925B05BDF095BAB54CDCDCDD29C483CC2551E192C1A57E7351EAF6D6B34E8632E72354CDDE13FDC37A7E2
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010000000000000000000000000
DAT = 1250B6D9D96140A5C44810A1D5B7024C566A260532B113F097620BE8C399BCDC04C20987EC3F73F6CC08BDD64F4435D011507D5022FEA2F4545C93F429473619

#### Authenticated Decryption
#### MsgID=8, KeyID=4, AD Size=31, CT Size=21
# Instruction: Opcode=Activate Key
INS = 70000000000000000000000000000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=31 bytes
HDR = 1200001F000000000000000000000000
DAT = 2D82EF5F123C5B1497BAB8A02F048189A3C11D4EFD42EEECF2C4398F9B3D25ECA0AFF0F0AB33C0C14860B5F6947310F08D4719ED00185B6F7B1087AB229ECFF562D350BBA72CCC40E7552A52469BA21181416C14612511B19217E0CC161D634BEED534DD096906E563099F05A616D82359F34F1912F9D98B879E2A8643B37414
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010000000000000000000000000
DAT = CD04AF0F695FDFAFC020BFBFF122C01066A13537B2553258395FF7F9FFF55A12EBBB9210E09B991B39A158B26CF7769A0FF4C96EEF6012ECAF0B36B28A599A20
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=21 bytes
HDR = 56000015000000000000000000000000
DAT = 0668C103905B6662708E2BA1F29BE4E1878E52B6454F676732F147E41DD20BB192FEA04976035D8EA890B5D36961F390CE682B172BE77D1A078050865E2C7C337E67004914823CEFC8E3194B6378AFD97D3AF7F7B047ED37B8F01822F98D02E2
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010000000000000000000000000
DAT = 1E619517ED977323A638E817A89D4D7A4B96CD7A8CA995350F5C199BE69FC8A5F23D1853CC0EF06B530E3EAA6BC68E47F7E486B64F43DE496ECF2CADC098AF08

#### Authenticated Decryption
#### MsgID=9, KeyID=5, AD Size=32, CT Size=20
# Instruction: Opcode=Activate Key
INS = 70000000000000000000000000000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000000000000000000000000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = 12000020000000000000000000000000
