#
# Shared version of sdi.txt split into 2 shares
#
###############################################################################
# sdi.txt
# This file was auto-generated by cryptotvgen v1.0.0
###############################################################################
# Parameter:
#
# add_partial            - False
# algorithm_class_paths  - ['/home/gilles/Lab/LWC/software/prepare_src/libs/crypto_aead/xoodyakv2--ref.so', '/home/gilles/Lab/LWC/software/prepare_src/libs/crypto_hash/xoodyakv1--ref.so']
# block_size             - 128
# cc_hls                 - False
# cc_pad_ad              - 0
# cc_pad_d               - 0
# cc_pad_enable          - False
# cc_pad_style           - 1
# ciph_exp               - False
# ciph_exp_noext         - False
# gen_custom_mode        - 0
# io (W,SW)              - [32, 32]
# key_size               - 128
# max_ad                 - 80
# max_block_per_sgmt     - 9999
# max_d                  - 80
# max_io_per_line        - 8
# message_digest_size    - 256
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ('npub', 'ad', 'data', 'tag')
# npub_size              - 128
# nsec_size              - 0
# offline                - False
# tag_size               - 128
###############################################################################

#### MsgID= 22, KeyID=  1
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 12B14907A98B8C13BFE26B030D58A714B417E285857967E65DB283335E85D736

#### MsgID= 24, KeyID=  2
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = EA12AD60B606F3FA6D40DCA4D7EA7B917494102FDD55A088CF56996F820AF0A6

#### MsgID= 25, KeyID=  3
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 909807515CF1152763B78C12B65D9FDFF2EDDF8FD948823608044FDCFADEAC1B

#### MsgID= 27, KeyID=  4
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = DF33CC6DAC0EBC2AAD73E0A90EC40374EA44C504D474D44E50723E5006D76FA2

#### MsgID= 28, KeyID=  5
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 323EC2C501C450199AE40F8325F498D33BC2EFBFD14C8C1B68AE66966169ABA7

#### MsgID= 30, KeyID=  6
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 597550BB22B0E07213C0760C66C81697DD1CD03B88963148E4ABBD3588332FEB

#### MsgID= 31, KeyID=  7
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 710E66BC6FC045068FF80BDE75A95634D37FCBE854B476D9531EB78F419F8B80

#### MsgID= 33, KeyID=  8
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 3D11F0990AAC4ADE604AD09C4EE613CCCBC468CBDEB34B1646007743E47B69C4

#### MsgID= 34, KeyID=  9
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 54970F3B83D63E637A2B78C831EAEBFD1A5E2A84414E54C10E4563317B425597

#### MsgID= 36, KeyID= 10
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 88BF443EF1C77C6B7393E7DBA161A614D981FB8C5D5FC0F48E2CFAA0B81B9429

#### MsgID= 37, KeyID= 11
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = CC621AFED34BD366C5BC2E8BA946AB41C674C28923FAEAAEF3EC67B3DC136656

#### MsgID= 39, KeyID= 12
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = B1DFECE757F5A8868B611DF08F35E87434E7F326D73EB7215FD7ECAF310E8F72

#### MsgID= 40, KeyID= 13
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = DCDEB47478B434A4A5FA5169C63A7A13C7D3F4C8C17B69920110B4DE9C6D9CE5

#### MsgID= 42, KeyID= 14
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = FE328D1C28330FB4F54A79867B2DC05903039F992548E4918C7A34A17902717D

#### MsgID= 43, KeyID= 15
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 714840D88D8CF2B269F155A53288C52F869B0BBA26771F7569A9410384484C06

#### MsgID= 45, KeyID= 16
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = D7CC05AADF5BAD0A7D2AAB36D4E3C98027031611AF9F23FD2D323CA2F1001F4F

#### MsgID= 46, KeyID= 17
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 5711B39C1FA408C0C500316510071B382DE48AE3F43C8DF8B206C8D45E0DB1BA

#### MsgID= 48, KeyID= 18
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 74902993EA5447CD6C8D4ECE046CEAD3140AC0B0DB19408335759C4991A19046

#### MsgID= 49, KeyID= 19
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 9E55A7796100DC5763E9FC3596DE6F3B40B47AECF1097E3829A6D963DF7EAC29

#### MsgID= 51, KeyID= 20
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 9B1A6B8D7DF3F7E863DCDF57326D5AC6FEAB9D5039A28208400061D33D9659C6

#### MsgID= 52, KeyID= 21
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 515F50772FD45BE16544E0552CE8E97705F9BF1A53D39C3FAEA84427097479CC

#### MsgID= 54, KeyID= 22
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 39386CC41FE8AF10FA5FC93F202F0EBD244017AC3494F8B97A917AE3FBC2C11B

#### MsgID= 55, KeyID= 23
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 0830ED80C9C595034AE71839C936AFD9AEE4F26DA295441735C53B973A3968F7

#### MsgID= 57, KeyID= 24
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = E42DB80F0D39C479E2718A93B4784F989B6EB5053FD0C8405D25BCFCE525217D

#### MsgID= 58, KeyID= 25
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 718382783EEFB85A5A951205C8A222BC3324144150553A6CC343F2081BAE4434

#### MsgID= 60, KeyID= 26
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = E636FD46FD2383D4960F506A12FED9FABA487B71DC079D888C37A423EF959E57

#### MsgID= 61, KeyID= 27
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 817B9B465DCC745262368358FFE751D2A811153CF8131D0F703A6B4DD260A9DA

#### MsgID= 63, KeyID= 28
# Instruction: Opcode=Load Key
INS = 4000000000000000
# Info :                      Key, EOI=1 EOT=1, Last=1, Length=16 bytes
HDR = C700001000000000
DAT = 3BC279B611E002930EC5DA795A59D194ECA4A03A5246A401F1BE97A3241FD525

#### MsgID= 64, KeyID= 29
# Instruction: Opcode=Load Key
INS = 4000000000000000
